Vm (mV),Current (pA),Concentration (uM)
-164,0.938378645552575,3
-144,0.890619226879418,3
-124,0.922475447844489,3
-104,0.950579388834242,3
-84,0.960064735498812,3
-64,0.97198940581289,3
-44,1.0620197711312,3
-24,1.089132951791,3
16,1.03934699548155,3
36,1.00628463533346,3
56,1.04679909997612,3
76,1.00317915055306,3
96,0.984010419406656,3
-164,0.941852923816734,3
-144,0.927208384984533,3
-124,0.974904824134019,3
-104,0.990251109048053,3
-84,1.04830100128409,3
-64,1.07726933253088,3
-44,1.04322833110107,3
-24,1.21561372213068,3
16,0.942894530423999,3
36,1.04401946920321,3
56,1.06956377152586,3
76,1.04334591781783,3
96,1.05332019894719,3
-164,0.917295838333501,3
-144,0.850169657530769,3
-124,0.919778932296865,3
-104,0.909506774987164,3
-84,0.985922543146366,3
-64,1.02835063239427,3
-44,1.10738063444509,3
16,0.886227113147446,3
36,1.03955676015136,3
56,0.912729402231055,3
76,0.91645603517372,3
96,0.930823919302057,3
-164,1.06366031936491,3
-144,0.97551194332593,3
-124,1.04158930937183,3
-104,1.0424602199588,3
-84,1.0643996062945,3
-64,1.09628706141458,3
-44,1.02486620030676,3
36,1.1138258482425,3
56,1.09432363283486,3
76,1.18947289522654,3
96,1.07865563771838,3
-164,0.697169333711523,10
-144,0.733107995856422,10
-124,0.760213726090992,10
-104,0.798680875269819,10
-84,0.913564381885471,10
-64,0.919906640696121,10
-44,0.900127541389852,10
-24,0.96059735498346,10
16,1.23432349280872,10
36,1.18561118062646,10
56,1.17330535410332,10
76,1.17762187394315,10
96,1.09348930089997,10
-164,0.775211363634356,10
-144,0.754796979109462,10
-124,0.768282830355001,10
-104,0.827711983151561,10
-84,1.00467268811589,10
-64,1.03645331181066,10
-44,1.09585921930999,10
-24,0.987538556292919,10
16,0.998461365198151,10
36,1.01685900560155,10
56,1.10177378758199,10
76,1.02633785023963,10
96,1.0598600122144,10
-164,0.736961587295103,10
-144,0.697240400626606,10
-124,0.758658756156186,10
-104,0.843474056630986,10
-84,0.938995756970603,10
-64,1.01334172110653,10
-44,1.08358743955113,10
-24,0.952074687907854,10
36,1.0595817594016,10
56,0.97017438630373,10
76,1.02676717472473,10
96,1.04515874132957,10
-164,0.812731301467273,10
-144,0.782454452179749,10
-124,0.826063456773959,10
-104,0.934605595388304,10
-84,0.999730509373825,10
-64,1.08619056007684,10
-44,1.11045148660237,10
-24,1.14725510398539,10
16,1.01141943365476,10
36,1.12622948260153,10
56,1.03432623940465,10
76,1.00393625780382,10
96,1.05157475191316,10
-164,0.864747249031746,10
-144,0.917473778015934,10
-124,0.952373233180434,10
36,1.14844032660134,10
56,1.14088030883216,10
96,1.02798462651219,10
-164,0.447281036462313,30
-144,0.404037752886468,30
-124,0.408394420081805,30
-104,0.510747283027379,30
-84,0.685032842663856,30
-64,0.871829250548478,30
-44,0.880127466666286,30
-24,0.80842043295949,30
36,0.984563128604932,30
56,0.965777312966482,30
76,0.945342913956318,30
96,0.926101032999869,30
-164,0.497716819861869,30
-144,0.5002805436317,30
-124,0.515965758186986,30
-104,0.611067069311544,30
-84,0.781680988932254,30
-64,0.962863712702642,30
-44,0.971231294205594,30
-24,0.964367496380275,30
16,1.0289562615003,30
36,1.00873205471245,30
56,0.99248525225946,30
76,0.979992896952882,30
96,0.984277083833399,30
-164,0.498080293974404,30
-144,0.478722594425767,30
-124,0.510546455347024,30
-104,0.615584703986101,30
-84,0.795504694213119,30
-64,0.905032461461141,30
-44,1.11454978520012,30
-24,0.90028798550495,30
16,0.77699249588294,30
36,0.88712386960365,30
56,0.970655357069143,30
76,0.972497149041237,30
96,0.966890836015343,30
-164,0.475856407262168,30
-144,0.469703296748164,30
-124,0.451065030757714,30
-104,0.551289904154755,30
-84,0.739507839585779,30
-64,0.899193808000398,30
-44,0.98526018287036,30
-24,0.917821863827698,30
56,0.918420383450896,30
96,0.965156603527382,30
-164,0.590223870940426,30
-144,0.616576505090138,30
-124,0.641553866902735,30
-104,0.837485124964071,30
-84,1.13041009525399,30
-64,1.04847072545153,30
-24,1.13773866746167,30
36,1.19031248618461,30
56,1.08875412695053,30
96,1.06885975398854,30
-164,0.254754712130662,100
-144,0.214712080185904,100
-124,0.255613873847504,100
-104,0.326262958960252,100
-84,0.543871643819732,100
-64,0.821975433627663,100
-44,0.876856178644449,100
-24,0.959814320274116,100
16,0.976030472221905,100
36,0.965185358131468,100
56,0.989025623997877,100
76,0.937557059121791,100
96,0.955215966231095,100
-164,0.242232608056633,100
-144,0.209119672790799,100
-124,0.218046319212558,100
-104,0.252298887859765,100
-84,0.553018084407708,100
-64,0.754461786233333,100
-44,0.887456523835141,100
-24,0.864328485294652,100
16,0.958160657661046,100
36,0.939272077995508,100
56,0.891171811175957,100
76,0.927765514774459,100
96,0.997909558452903,100
-164,0.182898126222401,100
-144,0.151698300813932,100
-124,0.197933923821969,100
-104,0.224671380384097,100
-84,0.470947030302748,100
-64,0.676806091508278,100
-44,0.830066459845783,100
-24,0.592513903857261,100
16,1.03484065272398,100
36,1.04055556326972,100
56,0.886525789459964,100
76,0.894380966243184,100
96,0.980793406835368,100
-164,0.142376456264875,300
-144,0.101030675195711,300
-124,0.0907729531982961,300
-104,0.115996406048365,300
-84,0.309669625261457,300
-64,0.555771396210161,300
-44,0.659674360705,300
-24,0.692816961556583,300
16,0.67080857693498,300
36,0.734127046586759,300
56,0.807544847354473,300
76,0.784748918450688,300
96,0.832363500554522,300
-164,0.073319889247655,300
-144,0.0942291066733324,300
-124,0.0825690726382937,300
-104,0.113308786798811,300
-84,0.27007801734346,300
-64,0.540856213181828,300
-44,0.772599481796348,300
-24,0.812340724208319,300
16,0.945579455253451,300
36,0.883242446088066,300
56,0.89341163181611,300
76,0.902724448602058,300
96,0.929756284276994,300
-164,0.051183040868328,300
-144,0.0460012209393259,300
-124,0.0555978130539823,300
-104,0.0896359730290361,300
-84,0.240776825916639,300
-64,0.493234658021416,300
-44,0.702149834866879,300
-24,0.485540343064581,300
16,0.953414546074239,300
36,0.868717590256681,300
56,0.964670403745164,300
76,0.877026412545146,300
96,0.928040627431101,300
-164,0.87852047587318,3
-144,0.892055798853713,3
-124,0.949968368014407,3
-104,0.955025402146253,3
-84,1.03120515830301,3
-64,1.00293310177217,3
-44,1.01284515889814,3
-24,0.994824806978914,3
16,1.01404727088194,3
36,1.0350038998021,3
56,1.01673491071719,3
76,0.985768455360524,3
96,1.01099125667214,3
-164,0.888535066763181,3
-144,0.905190276802962,3
-124,0.916719746762189,3
-104,0.932227055475235,3
-84,0.982186670687759,3
-64,1.0217262598233,3
-44,1.00727156020727,3
-24,0.972435140575006,3
16,1.04629248305309,3
36,1.01134998548708,3
56,1.06475860328599,3
76,1.05362479331901,3
96,1.06620959496353,3
-164,0.778621822873479,10
-144,0.756774654637435,10
-124,0.796009354857766,10
-104,0.870721098425875,10
-84,0.980545874175863,10
-64,1.02561905543748,10
-44,1.03171379539438,10
-24,1.06773269286847,10
16,1.0079768197791,10
36,1.07699001629379,10
56,1.02636744485735,10
76,1.05708590208051,10
96,1.04194047070272,10
-164,0.817862430305235,10
-144,0.806931348795991,10
-124,0.821998388961078,10
-104,0.892575743162836,10
-84,0.990253544227503,10
-64,0.973942497544536,10
-44,1.04649765955619,10
-24,1.02573562417963,10
16,0.91620913377145,10
36,1.01333230837949,10
56,1.00429044435166,10
76,0.994506573080578,10
96,1.01369625212168,10
-164,0.521749623646187,30
-144,0.511024282615812,30
-124,0.521992668113074,30
-104,0.606985205318052,30
-84,0.820416622458789,30
-64,0.931494697864422,30
-44,0.959560817513609,30
-24,0.967033864390275,30
16,0.889707574711739,30
36,0.969427507330365,30
56,0.928502599305122,30
76,0.964472725843178,30
96,0.970562967354263,30
-164,0.541748599853584,30
-144,0.54253819701704,30
-124,0.570881657554523,30
-104,0.636218260531827,30
-84,0.805133161226428,30
-64,0.91960078741769,30
-44,0.917367335511211,30
-24,0.963638167050184,30
16,0.884806032831961,30
36,0.927023616636192,30
56,0.904346030366823,30
76,0.925069326989622,30
96,0.944721996247397,30
-164,0.275717464716629,100
-144,0.263005854935458,100
-124,0.258824239466516,100
-104,0.306793361313937,100
-84,0.522354986106909,100
-64,0.82577253087591,100
-44,0.929868059619975,100
-24,1.0029300993691,100
16,1.00667457401633,100
36,0.996113564914049,100
56,0.989891078696457,100
76,0.982199932277671,100
96,0.985857348856902,100
-164,0.307460749005498,100
-144,0.273767200080809,100
-124,0.28715607750139,100
-104,0.345407007576059,100
-84,0.578373877486101,100
-64,0.898689095049192,100
-44,0.988763626637147,100
-24,1.05176341268516,100
16,1.05247155959077,100
36,1.04047487930027,100
56,1.06130336659079,100
76,1.02565646353258,100
96,1.07559376513862,100
-164,0.129580413466922,300
-144,0.124555422252107,300
-124,0.121942182450411,300
-104,0.142738348224622,300
-84,0.267407802163433,300
-64,0.601973935372429,300
-44,0.854447302814503,300
-24,0.965414026119701,300
16,1.00045294409436,300
36,1.00774043010385,300
56,1.00563522910313,300
76,0.971158786322177,300
96,1.00752569092675,300
-164,0.142539277834947,300
-144,0.131459248243276,300
-124,0.131296508177764,300
-104,0.161645849460991,300
-84,0.307580152430601,300
-64,0.662554512756799,300
-44,0.837570957516289,300
-24,0.948964276198858,300
16,1.01368284984865,300
36,0.981178030627185,300
56,0.959036284099821,300
76,0.981951997187494,300
96,0.990026075667276,300
