Concentration (uM),1/Tau (Hz),Error (Hz)
10,1147.83454312158,46.651630041132
30,3933.89754950088,238.150615246893
30,3688.29386839489,192.661444320371
30,3933.89483125558,238.149813648357
30,4694.35081822535,1323.38152985046
30,3799.14120946073,247.227560012581
30,5037.06592750688,252.193452168154
30,4859.93894512988,370.933243157784
30,4278.72847007094,611.819633530582
100,7440.86373546241,364.074846838691
100,4761.20036387948,679.087377148742
100,8358.76495788711,1452.89375567779
100,9544.77003513512,936.052457479212
100,5405.36888482278,566.462722815514
100,11001.6196869919,721.695060821628
100,14322.4917352783,604.639299393465
100,8245.33398038723,1074.98543310523
