Vm (mV),Current (pA),Concentration (uM)
-164,0.991809411711143,3
-144,0.974507535443547,3
-124,0.98002174611302,3
-104,1.03911174886693,3
-84,1.1456689376199,3
-64,1.14124605033399,3
-44,1.15573760314286,3
-24,1.21689180458007,3
16,1.00773548223073,3
36,1.01153922786335,3
56,1.01334537598847,3
76,1.02152414026822,3
96,0.994390999872306,3
-164,0.857671974064536,3
-144,0.86133284446677,3
-124,0.874481560731305,3
-104,0.876811797494694,3
-84,0.943527513587296,3
-64,0.898711120531841,3
-44,0.934187467654217,3
-24,0.990751390128391,3
16,0.926822291050632,3
36,0.957574112885021,3
56,0.962369094185836,3
76,0.97198198500196,3
96,1.00254207529836,3
-164,0.842562330383699,3
-144,0.858267822180825,3
-124,0.848776183595799,3
-104,0.929511780485526,3
-84,0.91332752074381,3
-64,0.998076346038752,3
-44,0.961300149657135,3
-24,1.00483301629711,3
16,1.00828516882161,3
36,0.948287409264064,3
56,1.03161476994794,3
76,0.970185153811183,3
96,1.00877907170083,3
-164,0.850970856916275,3
-144,0.858073884415257,3
-124,0.836221436530778,3
-104,0.835572634419657,3
-84,0.887071766282076,3
-64,0.992056336389756,3
-44,0.971562228233398,3
-24,1.02674460036586,3
16,0.79953789575982,3
36,0.891006072782537,3
56,0.975754582880962,3
76,1.00631033152381,3
96,0.947730397679069,3
-164,0.967040750851798,3
-144,0.968515372469438,3
-124,0.923591268340877,3
-104,0.977204130049478,3
-84,1.05393264880348,3
-64,1.1024949952372,3
-44,1.14099617100082,3
-24,1.12400293147676,3
16,1.12404244609619,3
36,1.1230454770053,3
56,1.11450902238196,3
76,1.0994124506119,3
96,1.11379069956859,3
-164,0.990460948137988,3
-144,0.950257251509005,3
-124,0.971855587314412,3
-104,1.01470513206607,3
-84,1.02787878079321,3
-64,1.04060707866333,3
-44,1.0406708692025,3
-24,1.01142958164869,3
16,1.09716707689706,3
36,1.0882035346079,3
56,1.07462919004565,3
76,1.06702692402151,3
96,1.0500207718418,3
-164,0.941404370095138,3
-144,0.906044788965734,3
-124,0.919388612672881,3
-104,0.984491903038479,3
-84,1.02943411130022,3
-64,1.04302965066857,3
-44,1.04997463206275,3
-24,1.00655902874121,3
16,1.08773236308353,3
36,1.07140850233245,3
56,1.0400849472102,3
76,1.04946768799747,3
96,1.03194270468763,3
-164,0.683448266258445,3
-144,0.679796594620902,3
-124,0.684471469556403,3
-104,0.766656693425925,3
-84,0.859745523327394,3
-64,0.921350358373965,3
-44,0.917305952014399,3
-24,0.973577594039846,3
16,1.06680767196532,3
36,0.933391501482052,3
56,1.01784228131925,3
76,1.00056473395706,3
96,1.02149062075334,3
-164,0.781762623042294,10
-144,0.82553459595633,10
-124,0.836251312039884,10
-104,0.912806634773588,10
-84,1.0798038208148,10
-64,1.06510719033628,10
-44,1.10274442168337,10
36,0.968226485526763,10
56,1.02475087572024,10
76,0.975582915910768,10
96,1.0316665093878,10
-164,0.756978115099685,10
-144,0.781065348726572,10
-124,0.768266911370654,10
-104,0.84742538299694,10
-84,0.98643807414913,10
-64,0.969937033975945,10
-44,0.931139368040436,10
-24,1.00750564761495,10
16,1.00573285544301,10
36,1.05941478560441,10
56,0.989511609421431,10
76,1.00941040066642,10
96,1.07139634947293,10
-164,0.711682369440564,10
-144,0.649938027553999,10
-124,0.730766090300925,10
-104,0.814118492672445,10
-84,0.945315535994323,10
-64,0.998138980209701,10
-44,0.959231214504179,10
-24,1.01818631096399,10
16,0.928417140087603,10
36,0.991553116690341,10
56,1.01978579256133,10
76,1.02912330919427,10
96,0.947953216428147,10
-164,0.703257450565494,10
-144,0.704358368062564,10
-124,0.679128516412533,10
-104,0.802618433966427,10
-84,0.860513651664431,10
-64,0.965576051843338,10
