Vm (mV),Current (pA),Concentration (uM)
-164,0.90076588903032,0.3
-144,0.908282690889832,0.3
-124,0.879237446441772,0.3
-104,0.855589142931401,0.3
-84,0.84476606357364,0.3
-64,0.897092755798388,0.3
-44,0.880884052012465,0.3
-24,1.05048803551391,0.3
16,0.849195336365561,0.3
36,0.912629055887155,0.3
56,0.931631258328966,0.3
76,0.91491516081264,0.3
96,0.939895627148727,0.3
-164,0.978255729050536,0.3
-144,1.00125048777529,0.3
-124,0.993069152868964,0.3
-104,0.962837666153953,0.3
-84,0.944272175409801,0.3
-64,0.898818801582257,0.3
-44,1.1345333489937,0.3
-24,0.87817811865939,0.3
16,0.997242160279142,0.3
36,1.07321073969418,0.3
56,1.0536343622071,0.3
76,1.04125994726565,0.3
96,1.09239714922775,0.3
-164,0.976663474900598,0.3
-144,0.943647234075003,0.3
-124,0.97030689746602,0.3
-104,0.904621890166045,0.3
-84,0.93954065051513,0.3
-64,0.928267935053742,0.3
-44,0.909115564506043,0.3
-24,1.00904660612109,0.3
16,1.41149694014034,0.3
36,0.942552849020817,0.3
56,1.04720503328828,0.3
76,1.06344412785571,0.3
96,1.04740974171083,0.3
-164,1.00327367128695,0.3
-144,0.969578808894582,0.3
-124,0.961419743553692,0.3
-104,0.916671740481279,0.3
-84,0.837465536533908,0.3
-64,0.913930358302604,0.3
-44,1.03086985272896,0.3
-24,0.931191401535596,0.3
16,1.16730935554937,0.3
36,0.949500024956356,0.3
56,0.956343716684997,0.3
76,0.966631606218703,0.3
96,0.91748925671505,0.3
-164,0.916868484457225,0.3
-144,0.908463640797465,0.3
-124,0.893107218845914,0.3
-104,0.882160668773413,0.3
-84,0.876244366655735,0.3
-64,0.905798086028059,0.3
-44,0.924033368671483,0.3
-24,0.938453725059141,0.3
16,0.880349528991522,0.3
36,0.944849741178509,0.3
56,0.920227125284023,0.3
76,0.891614889245061,0.3
96,0.935349042172452,0.3
-164,1.00700819177109,1
-144,0.989188089585013,1
-124,0.88283075544531,1
-104,0.876976924913632,1
-84,0.863298569895879,1
-64,0.819137614747695,1
-44,0.848430832487981,1
-24,0.852130616392604,1
16,0.813553046517923,1
36,0.826670398061168,1
56,0.873083503004759,1
76,0.898500936274976,1
96,0.874513001327237,1
-164,0.857076827736269,1
-144,0.800760027859999,1
-124,0.789556053793092,1
-104,0.759572943269186,1
-84,0.760032933829969,1
-64,0.837474966392074,1
-44,0.968209561201073,1
-24,1.03961370762306,1
16,1.00122772430011,1
36,1.06901004685233,1
56,1.00083558243393,1
76,1.03429492670179,1
96,1.05022619100939,1
-164,0.838577348968939,1
-144,0.852816378188231,1
-124,0.838231880817991,1
-104,0.865323680000899,1
-84,0.850209685829223,1
-64,0.941833950192105,1
-44,1.00090631266922,1
-24,1.03640179635479,1
16,0.929934310120269,1
36,1.00528553644764,1
56,0.972958431351534,1
76,0.939454212998145,1
96,1.00510199504426,1
-164,0.865300483081824,1
-144,0.833080251663816,1
-124,0.801141538704272,1
-104,0.779950568409376,1
-84,0.780399232836275,1
-64,0.900178031617062,1
-44,0.99925832839325,1
-24,1.02302001929485,1
16,1.11251227686033,1
36,1.07037489236418,1
56,1.08329386496729,1
76,1.07865239464128,1
96,1.05721673514207,1
-164,0.920344023571067,1
-144,0.904844517204419,1
-124,0.871417829452121,1
-104,0.847476435284509,1
-84,0.879811445650503,1
-64,0.935935274770848,1
-44,1.03677192262822,1
-24,1.0860416609328,1
16,1.02611437273511,1
36,1.17056096930156,1
56,1.13415079760931,1
76,1.15668213932053,1
96,1.15841337114818,1
-164,0.777278246796938,3
-144,0.784104646290101,3
-124,0.865252385776698,3
-104,0.791224004782824,3
-84,0.846903199818187,3
-64,0.885197629910795,3
-44,0.956069596674572,3
-24,0.959795097768793,3
16,1.06474329461077,3
36,0.986749421530271,3
56,0.972840263063556,3
76,0.913570577476665,3
96,0.95125191206822,3
-164,0.824356775370076,3
-144,0.762647420414205,3
-124,0.753887568543683,3
-104,0.724370543017937,3
-84,0.751111307670598,3
-64,0.822849831231944,3
-44,0.955964126382021,3
-24,1.06253427618616,3
16,0.990241698839099,3
36,1.04440598778057,3
56,0.978773936195507,3
76,1.00842710736691,3
96,0.987609650343359,3
-164,0.744400595719684,3
-144,0.728752510285213,3
-124,0.741300268163016,3
-104,0.690566732110908,3
