Concentration (uM),1/Tau (Hz),Error (Hz)
1,846.1582966,163.6595013
1,1258.854417,146.0302857
1,1086.293853,314.1726623
3,1299.673465,179.636896
3,802.953371,132.6694132
3,847.391868,211.6522819
6,771.1325724,109.5157793
6,2722.416103,427.2114104
6,1327.308331,126.9411874
6,2143.296699,481.6290264
6,3363.231908,941.4291745
10,2214.076661,279.7070156
10,4002.339319,639.0807788
10,1651.979239,169.4696806
10,1499.873962,131.8195054
10,1600.296807,197.0176424
10,1182.279542,67.94501768
20,2389.596458,350.6022816
20,3744.118685,669.8918117
20,1693.07004,228.5117921
20,3377.401577,327.1407178
20,2509.1299,303.2803601
30,2917.595715,622.2544388
30,3471.11222,1077.206333
30,1834.62551,111.2509918
30,6910.512147,2214.099639
30,3528.582011,650.8224655
30,1722.552077,128.3461539
30,2433.315059,379.513267
30,3448.440592,328.4060029
