Vm (mV),Current (pA),Concentration (uM)
-164,0.939555663,0.3
-144,0.938430891,0.3
-124,0.981352829,0.3
-104,0.95062619,0.3
-84,0.989212149,0.3
-64,1.000257681,0.3
-44,1.048169495,0.3
-24,1.051598753,0.3
16,0.989708455,0.3
36,1.014141729,0.3
56,1.053256728,0.3
76,0.996257393,0.3
96,0.995591036,0.3
-164,0.981170132,0.3
-144,0.963572417,0.3
-124,0.948149994,0.3
-104,0.953218314,0.3
-84,0.946649762,0.3
-64,0.984904446,0.3
-44,1.009965074,0.3
-24,1.017775693,0.3
16,1.008203419,0.3
36,0.99070996,0.3
56,0.991810012,0.3
76,0.983826003,0.3
96,0.992764507,0.3
-164,1.013547518,0.3
-144,1.023736059,0.3
-124,1.03286019,0.3
-104,0.98055019,0.3
-84,0.99076619,0.3
-64,1.00592401,0.3
-44,1.050810913,0.3
-24,1.057691324,0.3
16,1.018005466,0.3
36,0.993021545,0.3
56,1.009954971,0.3
76,1.001233075,0.3
96,0.986121052,0.3
-164,1.000597295,0.3
-144,0.964806462,0.3
-124,0.953927333,0.3
-104,0.941440021,0.3
-84,0.936682669,0.3
-64,0.94599746,0.3
-44,1.020994022,0.3
-24,0.967901816,0.3
16,1.148516684,0.3
36,1.032150407,0.3
56,0.998767565,0.3
76,1.017213182,0.3
96,0.995451367,0.3
-164,0.984176861,1
-144,0.995660537,1
-124,0.960041927,1
-104,0.947491263,1
-84,0.942852752,1
-64,0.980045971,1
-44,0.983943761,1
-24,1.046985803,1
16,0.998434123,1
36,1.014575003,1
56,1.01775238,1
76,1.042516247,1
96,1.025817682,1
-164,1.01694271,1
-144,0.923603687,1
-124,0.946135527,1
-104,0.814281666,1
-84,0.970130361,1
-64,1.004341462,1
-44,1.09211702,1
-24,0.92329044,1
36,1.131239391,1
56,1.017643828,1
76,1.047462229,1
96,0.890666868,1
-164,0.854706988,1
-144,0.846816575,1
-124,0.840581761,1
-104,0.81296949,1
-84,0.875637769,1
-64,0.96056051,1
-44,1.047175689,1
-24,1.036638236,1
16,0.909509172,1
36,0.919257158,1
56,0.983078189,1
76,0.962919001,1
96,0.966938414,1
-164,0.936351832,1
-144,0.901017583,1
-124,0.868685059,1
-104,0.845586131,1
-84,0.857663893,1
-64,0.895385022,1
-44,0.984932444,1
-24,0.981347273,1
16,0.875127876,1
36,0.813432081,1
56,0.866845294,1
76,0.784555277,1
96,0.854745701,1
-164,0.82058805,1
-144,0.821703166,1
-124,0.794746485,1
-104,0.782125968,1
-84,0.789815032,1
-64,0.823187502,1
-44,0.944157068,1
-24,0.941447053,1
16,1.073849204,1
36,1.022995986,1
56,1.019267136,1
76,0.975834953,1
96,0.948187842,1
-164,0.944730215,3
