Vm (mV),Current (pA),Concentration (uM)
-164,0.915555848603175,3
-144,0.929926995270743,3
-124,0.914930547821894,3
-104,0.907118487462266,3
-84,0.94934982209281,3
-64,0.96676663392352,3
-44,0.991436572497835,3
-24,0.982078151125849,3
16,1.00289653776076,3
36,0.995415740637748,3
56,1.01505087488947,3
76,1.00007502002878,3
96,0.992153206582862,3
-164,1.01022502017769,3
-144,0.993492276406409,3
-124,0.988667820746391,3
-104,1.00712332415184,3
-84,1.04164470972095,3
-64,1.05985267757452,3
-44,1.06895986813872,3
-24,1.10698175499717,3
16,1.15728389921061,3
36,1.03302726480043,3
56,1.06309759817041,3
76,1.04048013066106,3
96,1.01140742872731,3
-164,0.907747001105857,3
-144,0.906714981920016,3
-124,0.847446384892685,3
-104,0.927022173831387,3
-84,0.941069581104378,3
-64,0.971465134672846,3
-44,0.842608719466714,3
-24,1.15240063033014,3
16,1.05005521044459,3
36,0.929164475336619,3
56,0.919759718378677,3
76,0.889439236693146,3
96,0.82138305488956,3
-164,1.01944111533375,3
-144,0.828392473314553,3
-124,0.886132048344059,3
-104,0.881185813322554,3
-84,0.848349255166916,3
-64,1.11571208714126,3
-44,0.958891548307214,3
16,0.733029706964643,3
36,0.969266679825951,3
56,0.743088107003532,3
76,0.972628644620652,3
96,0.862197380782233,3
-164,0.795926195709485,3
-144,0.818236671611521,3
-124,0.787428744126821,3
-104,0.851238915570628,3
-84,0.792872584672822,3
-64,0.849357634335204,3
36,1.11156364041968,3
76,0.938161656390645,3
96,1.0787832711754,3
-164,1.05480884250759,3
-144,0.989855475532954,3
-124,1.02989753323602,3
-104,1.0658724105243,3
-84,1.02443395238238,3
-64,1.06264844618847,3
-44,0.9840957894539,3
-24,1.03718736709106,3
56,1.19182467323418,3
96,1.17378197351637,3
-164,1.00383352639493,3
-144,0.971353432735691,3
-124,0.951471725488125,3
-104,0.94964524813614,3
-84,0.948189296691104,3
-64,0.96775585890741,3
-44,0.958032388042586,3
-24,0.877516232356299,3
36,1.1749561090391,3
56,1.09918815573591,3
76,1.10371912285299,3
96,1.1108092924686,3
-164,1.00521324364649,3
-144,0.970157700644795,3
-124,1.04389696959884,3
-104,1.0344303364749,3
-84,1.10706728614844,3
-64,1.15796871625137,3
-44,1.05509292222437,3
-24,1.02936271395582,3
16,1.30286015734263,3
36,1.15532117096627,3
56,1.13651156053337,3
76,1.0561488235609,3
96,1.12117076252328,3
-164,1.01088253906963,3
-144,0.943448922183525,3
-124,0.92357935826853,3
-104,0.904199623145099,3
-84,0.920551516295769,3
-64,0.887408759151341,3
36,1.17427555551862,3
56,1.17742562757418,3
76,1.09847426432948,3
96,1.07811736307784,3
-164,1.0920449132501,3
-144,1.07477944288802,3
-124,1.11339653252571,3
-104,1.16105375628086,3
-84,1.17767994909668,3
-64,1.14244479769018,3
-44,1.21174306903714,3
16,1.10235867980251,3
36,1.01768303845961,3
56,1.03531377202753,3
76,1.07353983953786,3
96,1.06559199510805,3
-164,0.897732288915383,10
-144,0.893232288622446,10
-124,0.939311385819904,10
-104,0.943091386467441,10
-84,0.980553208183712,10
-64,1.00691423975779,10
-44,0.980103204688059,10
-24,1.03936983433677,10
16,1.06774193689312,10
36,0.969762250149346,10
56,1.00586521400456,10
76,1.02912659449283,10
96,1.00432718569249,10
-164,0.888783944682775,10
-144,0.835567695476327,10
-124,0.86670878027801,10
-104,0.892765086158168,10
-84,0.923024860908045,10
-64,0.984670256082276,10
-44,0.950515710398206,10
-24,0.998326163494443,10
16,0.976302766937674,10
36,1.03347381547346,10
56,0.959582417958042,10
76,0.970447156232283,10
96,0.964238984589406,10
-164,0.756937833911367,10
-144,0.728456253284925,10
-124,0.758323388146486,10
-104,0.770278649810073,10
-84,0.805689710397162,10
-64,0.803880508301344,10
-44,0.780259001032117,10
-24,0.767352397940239,10
16,1.07611469162059,10
36,0.875979912254669,10
56,0.862158135328365,10
76,0.831188501000522,10
96,0.866151760356701,10
-164,0.880831208116752,10
-144,0.824738182900932,10
-124,0.826325247609006,10
-104,0.83506657592598,10
-84,0.89317005852639,10
-64,0.888729338770874,10
-44,0.939329657149013,10
-24,0.963000923415882,10
16,0.910702178085418,10
36,0.991383202637639,10
56,0.989112187730885,10
76,0.942324918362723,10
96,0.967898823964923,10
-164,0.884653693948836,10
-144,0.889512207002737,10
-124,0.840113592391231,10
-104,0.883146198204525,10
-84,0.943259667208397,10
-64,0.95340154322255,10
-44,0.953941025811816,10
-24,0.977578228434051,10
16,1.04389983792577,10
36,1.00989948196173,10
56,1.00873307265018,10
76,0.968506185693924,10
96,0.955518576958536,10
-164,0.892721695741522,10
-144,0.896376616396095,10
-124,0.953437015475622,10
-104,0.92004151498277,10
-84,0.906475140051867,10
-64,0.985394117223892,10
-44,0.969526084388216,10
-24,1.00358358391697,10
16,1.03392878808336,10
36,1.05612203492466,10
56,0.950168879315761,10
76,1.02565370283619,10
96,1.01684458125822,10
-164,0.674575494772301,30
-144,0.666688498589443,30
-124,0.644127269651855,30
-104,0.654859108148221,30
-84,0.729471475768848,30
-64,0.847831488790224,30
-44,0.928964437358914,30
-24,0.959270803054176,30
16,0.963186561099631,30
36,0.973098543571763,30
56,0.985228685830388,30
76,0.990785081227019,30
96,0.997119868113645,30
-164,0.729809916737483,30
-144,0.648242816392881,30
-124,0.640779614415562,30
-104,0.576934218044625,30
-84,0.598384389260286,30
-64,0.760122551345019,30
-44,0.93781638180005,30
-24,1.01415231593934,30
16,0.985632443470025,30
36,0.992533202408163,30
56,1.07210436802884,30
76,1.03919265121583,30
96,1.05042880047654,30
-164,0.621111018449678,30
-144,0.538244414793848,30
-124,0.524918557475458,30
-104,0.506790349041903,30
-84,0.676395836948046,30
-64,0.67348336591386,30
-44,0.840204374997809,30
-24,0.946767604553994,30
36,0.950802501451185,30
76,1.10022803815072,30
96,0.881487286842424,30
-164,0.523196188953057,30
-144,0.486178135812114,30
-124,0.472596561482795,30
-104,0.49210864913858,30
-84,0.494621162472103,30
-64,0.588839616066836,30
-44,0.652677171541593,30
76,1.19832140104856,30
96,1.12272103221115,30
-164,0.888095802848837,30
-144,0.811568969345296,30
-124,0.821904032299887,30
-104,0.857175687189392,30
-84,0.881901397327917,30
-64,0.988708969252718,30
-44,1.11335426207049,30
-24,0.925505636859701,30
36,1.33915724022947,30
56,1.27814924546153,30
76,1.32745326930821,30
96,1.30023044412368,30
-164,0.786274130799293,30
-144,0.745744514664296,30
-124,0.738368765074496,30
-104,0.736902190159993,30
-84,0.795285253334894,30
-64,0.922006313442601,30
-44,1.00861832861723,30
-24,1.02212970671298,30
16,0.994768463380083,30
36,1.0667322607068,30
56,1.01574072065813,30
76,1.04319439278302,30
96,1.0329126628808,30
-164,0.683168034800941,30
-144,0.654654023348022,30
-124,0.714414969142878,30
-104,0.686685644834092,30
-84,0.878839822916978,30
-64,1.02043923359163,30
-44,1.02276259176526,30
-24,1.00799992093378,30
16,1.34829591286218,30
36,1.19458044092014,30
56,1.18346273665767,30
76,1.13902691872767,30
96,1.13290581101721,30
-164,0.633741137094124,30
-144,0.546574980828757,30
-124,0.542251691016054,30
-104,0.575660231523762,30
-84,0.638208076697698,30
-64,0.720273359191892,30
-44,0.684676215532148,30
16,1.05413113445238,30
36,0.936579154517949,30
56,0.986026687645325,30
76,0.904952571174718,30
96,0.946806234444367,30
-164,0.703368169027261,30
-144,0.718932813616184,30
-124,0.678070916812643,30
-104,0.744958896465024,30
-84,0.836721182754728,30
-64,0.852173627065511,30
-44,0.789383527311355,30
-24,0.89550415949267,30
16,1.07131679710951,30
36,0.970513816673487,30
56,1.05735989452526,30
76,1.03379092282177,30
96,1.06608765341434,30
-164,0.436167353602955,100
-144,0.455781612817135,100
-124,0.439491288424316,100
-104,0.421855149079152,100
-84,0.549634873266831,100
-64,0.737668856785374,100
-44,0.885314794537118,100
-24,0.934120142689406,100
16,0.928646372301087,100
36,0.972972474444261,100
56,0.95666085840752,100
76,0.957173916498639,100
96,0.947233680885302,100
-164,0.461217338956762,100
-144,0.426205688087301,100
-124,0.415145211890963,100
-104,0.422698126825666,100
-84,0.537281767258068,100
-64,0.743148069781176,100
-44,0.910656016645007,100
-24,0.900625171930172,100
16,0.968980329083163,100
36,1.00837163869794,100
56,0.963480686053091,100
76,0.987848739055439,100
96,0.961361206595732,100
-164,0.416841064599298,100
-144,0.359112407004596,100
-124,0.413549952197101,100
-104,0.419017564909133,100
-84,0.509527238796468,100
-64,0.630665950107945,100
-44,0.74565735492528,100
-24,0.72343032510374,100
16,0.895998775154853,100
36,0.793647475050641,100
56,0.836764057871233,100
76,0.789826513468466,100
96,0.843278429129734,100
-164,0.505334153733599,100
-144,0.446738572948941,100
-124,0.477010125307235,100
-104,0.497983150046825,100
-84,0.618542724600508,100
-64,0.781789514057402,100
-44,0.903491130008513,100
-24,0.968494506144912,100
16,0.987651660096094,100
36,1.02166663112429,100
56,1.02064451345086,100
76,0.986433782089683,100
96,0.976173668982609,100
-164,0.49454103856832,100
-144,0.499125153259341,100
-124,0.506846185491937,100
-104,0.523610153874357,100
-84,0.625431750140759,100
-64,0.792862844240949,100
-44,0.917773425676035,100
-24,0.945020028701724,100
16,1.1378632966296,100
36,1.0894477160488,100
56,1.05126649490014,100
76,0.992457364708654,100
96,1.02044223417024,100
-164,0.518443322645209,100
-144,0.468637743210399,100
-104,0.497642166485535,100
-84,0.602577288984657,100
-64,0.730318115984355,100
-44,0.937868400170575,100
-24,0.905542219425325,100
16,1.06569587309909,100
36,1.02367466823766,100
56,0.965690399432083,100
76,1.01952470053463,100
96,0.958484450188263,100
-164,0.20990702792109,300
-144,0.216339507779513,300
-124,0.203432825280384,300
-104,0.198171406093913,300
-84,0.251173072281064,300
-64,0.411817462410818,300
-44,0.705827550656156,300
-24,0.794648435685175,300
16,0.916304672632327,300
36,0.864440431165615,300
56,0.905396558973219,300
76,0.905391860731291,300
96,0.916500728017378,300
-164,0.247530094535679,300
-144,0.225459103662686,300
-124,0.221021078588927,300
-104,0.219900524615381,300
-84,0.288923715493885,300
-64,0.507721811951007,300
-44,0.763380523382175,300
-24,0.908866822190872,300
16,1.04858897571635,300
36,0.992541851048459,300
56,0.981533647965257,300
76,0.987601419798885,300
96,0.969421231511712,300
-164,0.197370060304101,300
-144,0.236690730529845,300
-124,0.185026215341206,300
-104,0.21157340306721,300
-84,0.288543271133739,300
-64,0.419173893591646,300
-44,0.5869109675842,300
-24,0.624735271170418,300
16,0.79972037149289,300
36,0.664191658579122,300
56,0.778500514533012,300
76,0.712346711684036,300
96,0.768279649204113,300
-164,0.268479015102361,300
-144,0.266919842008875,300
-124,0.241405108681962,300
-104,0.271294599121111,300
-84,0.364000340263652,300
-64,0.57158568523845,300
-44,0.806391599332477,300
-24,0.911197986915778,300
16,1.01934975576812,300
36,1.03048007888265,300
56,1.0452541877647,300
76,1.01057016688651,300
96,0.98024316834518,300
-164,0.269718156553699,300
-144,0.2581849053261,300
-124,0.25378743850947,300
-104,0.272742633723613,300
-84,0.36727170228104,300
-64,0.551396452158765,300
-44,0.794183834578982,300
-24,0.897951689675625,300
16,1.04432970424796,300
36,1.03987563110781,300
56,0.992402592413973,300
76,0.954771000522899,300
96,0.9922018198929,300
-164,0.282108348701056,300
-124,0.270039687874439,300
-104,0.296253982545082,300
-84,0.374506422781054,300
-64,0.568419120537508,300
-44,0.791237181555866,300
-24,0.877912237366534,300
16,0.863096426874212,300
36,1.04501840300241,300
56,0.975523844535718,300
76,1.08350526648456,300
96,0.998906100699002,300
-164,0.069078550882764,1000
-144,0.0630575482667872,1000
-124,0.0591901952529852,1000
-104,0.108097466250619,1000
-84,0.119525048280867,1000
-64,0.237995851806166,1000
-44,0.370099213563268,1000
-24,0.581599830844251,1000
36,0.891121600706799,1000
56,0.766074387200629,1000
76,0.848441761872033,1000
96,0.93632309875005,1000
-164,0.0538747665221987,1000
-144,0.0673867611355421,1000
-124,0.0529186137899733,1000
-104,0.0919453316151744,1000
-84,0.0795225379810647,1000
-64,0.184294755305161,1000
-44,0.275007741425686,1000
-24,0.415386715663111,1000
36,1.18400069351808,1000
56,1.20122504880237,1000
76,1.02186944424709,1000
96,0.912555638676924,1000
-164,0.0639087244194987,1000
-144,0.0589339214383709,1000
-124,0.0686480809748777,1000
-104,0.121767574108949,1000
-84,0.116882465324118,1000
-64,0.229775981335646,1000
-44,0.319092335520935,1000
-24,0.31921201129507,1000
36,0.614002573040413,1000
76,0.896967833812181,1000
96,0.985110793991273,1000
-164,0.135884219074718,1000
-144,0.12712660147838,1000
-124,0.144330308635404,1000
-104,0.152566638257865,1000
-84,0.271704683708514,1000
-64,0.557566256887026,1000
-44,0.813900123892816,1000
-24,0.883403634946552,1000
16,1.01910817889699,1000
36,0.882692158921293,1000
56,0.923004878436196,1000
76,0.971760417552555,1000
96,1.06615617709801,1000
-164,0.102605073211404,1000
-144,0.0960972174863263,1000
-124,0.105480286066707,1000
-104,0.115023617352298,1000
-84,0.180407162411786,1000
-64,0.284814344480964,1000
-44,0.511445533266747,1000
-24,0.536369913073552,1000
16,0.973133310557325,1000
36,0.933856043921007,1000
56,0.888449341157244,1000
76,0.885654893147205,1000
96,0.854013468392357,1000
-164,0.10313685536065,1000
-144,0.101657383013983,1000
-124,0.104160818205851,1000
-104,0.11988954354968,1000
