Vm (mV),Current (pA),Concentration (uM)
-164,0.993039263468142,3
-144,0.988658789210295,3
-124,0.97164511080383,3
-104,0.994111656051734,3
-84,1.01880824461847,3
-64,1.02730088913358,3
-44,1.02459765535666,3
-24,1.01703282030811,3
16,0.995197389622832,3
36,0.993400649877735,3
56,1.01639089098686,3
76,1.0067220706423,3
96,1.00312238373403,3
-164,0.947349731046196,3
-144,0.949480700164694,3
-124,0.981095333237863,3
-104,0.970884804067912,3
-84,0.996006279208199,3
-64,1.03040781066578,3
-44,1.03428259189056,3
-24,0.985961769339673,3
16,1.03843197256155,3
36,1.05980180726062,3
56,1.02907065177004,3
76,1.02278845004336,3
96,1.00721149981651,3
-164,0.872831373406312,3
-144,0.893953723563883,3
-124,0.887750439434805,3
-104,0.867133561566564,3
-84,0.939774533696401,3
-64,0.87486502131321,3
-44,0.898368545921012,3
-24,0.980315107692924,3
16,0.930215411239559,3
36,1.00265705909367,3
56,1.03077954224741,3
76,0.98842161007337,3
96,0.910705580143803,3
-164,1.00131017167116,3
-144,0.974584322305469,3
-124,0.990240036775731,3
-104,0.921354453028945,3
-84,0.963684986964312,3
-64,0.979933239732798,3
-44,0.95052859170786,3
-24,1.04300320205567,3
16,1.04431974237789,3
36,1.00789232885332,3
56,0.919888753467008,3
76,0.991345127394867,3
96,0.967936098771188,3
-164,0.875230538035492,10
-144,0.856334669294828,10
-124,0.81206096087505,10
-104,0.802930343162636,10
-84,0.915230465996672,10
-64,1.02448920605375,10
-44,0.936615627500045,10
-24,1.07340740727871,10
16,1.02654711227598,10
36,0.994649917949385,10
56,0.987028481652617,10
76,1.03934113194788,10
96,1.03979725936558,10
-164,0.921913242500378,10
-144,0.936818412015517,10
-124,0.955206071877788,10
-104,0.94703159054355,10
-84,0.982299460188055,10
-64,1.02412629509388,10
-44,0.965969082671224,10
-24,0.858543366679227,10
16,0.804446550532124,10
36,1.12722148982941,10
56,0.868415610103917,10
76,1.05962009565904,10
96,0.975498112284047,10
-164,0.889753597682123,10
-144,0.865173393978883,10
-124,0.870723098956534,10
-104,0.915827238284744,10
-84,0.95749928731501,10
-64,1.01697380569912,10
-44,1.0749262759663,10
-24,0.98690581531289,10
16,0.968905910750542,10
36,0.989411505159032,10
56,1.07990032262093,10
76,1.015121376969,10
96,1.02724691272948,10
-164,0.873200334045274,10
-144,0.883919004404184,10
-124,0.8381937751146,10
-104,0.868492968380649,10
-84,0.924845076804288,10
-64,0.925025417577652,10
-44,0.975488639797512,10
-24,0.932247758018634,10
16,0.988208725958827,10
36,1.00094216198376,10
56,1.01088154520303,10
76,1.01657947271891,10
96,1.06169032765393,10
-164,0.835601163948567,10
-144,0.832544634091831,10
-124,0.820396463035903,10
-104,0.855590612443575,10
-84,0.884648588780726,10
-64,0.926739389194684,10
-44,0.944441702271109,10
-24,0.879630789425831,10
16,1.03992879998378,10
36,0.973186355313979,10
56,1.00338870355069,10
76,0.992666898192984,10
96,0.970446514145147,10
-164,0.888362129361976,10
-144,0.851647264488991,10
-124,0.871845004235018,10
-104,0.870454516714332,10
-84,0.936545444902063,10
-64,0.95289164323828,10
-44,0.980890270049464,10
-24,1.01782681014734,10
16,1.06577933911116,10
36,0.988870171846386,10
56,1.00271883865955,10
76,0.983451710197201,10
96,0.993721431588008,10
-164,0.88571100948593,10
-144,0.838993779964846,10
-124,0.864654294687537,10
-104,0.858501527649037,10
-84,0.855730201929005,10
-64,0.916439724799508,10
-44,0.942195973829225,10
-24,0.931636883080042,10
16,1.07854248403438,10
36,1.0819055391372,10
56,1.05067646223841,10
76,1.07642983222703,10
96,1.03786454151689,10
-164,0.857359488704799,10
-144,0.882906640624283,10
-124,0.885290402716168,10
-104,0.925041790177355,10
-84,0.92718538474154,10
-64,0.964192550353948,10
-44,0.976138439022361,10
-24,0.914527030419613,10
16,1.17742476464516,10
36,1.07794714426616,10
56,1.17570816568524,10
76,1.07475207221167,10
96,0.987083649509221,10
-164,0.841331644352074,10
