Concentration (uM),1/Tau (Hz),Error (Hz)
10,43701.8332140398,6718.73624759155
10,17957.5515370593,9247.09782160007
10,22009.7227858276,17007.7542084024
10,29236.7222522856,5903.78558094555
10,14192.5225928617,612.745945718024
10,24971.5792741971,2263.27512320843
10,29766.0847487895,2384.8422984912
10,33872.5295210318,3383.94203127233
10,60298.0371522195,5605.75074671682
30,36748.2610638981,3267.60471250255
30,40278.8544227093,3605.20367163716
30,39379.8293410187,3811.29024380594
30,16901.3649965519,235.146385444681
30,16151.612438974,1044.2738107937
30,10371.146744647,1310.19981686865
30,22493.6304568606,11044.4204868412
100,46472.3482458845,3045.36184416415
100,43199.9218805309,2945.40820509079
100,39725.7475308139,3068.51815533955
100,30045.159441831,2340.44985513716
100,60242.4515853295,5431.02505973712
100,23128.1068757841,8470.05070734683
100,27521.787212811,1221.79964255123
